alim_grp_code;alim_grp_nom;alim_code;alim_nom;energie_kcal;eau_g_100g;prot_g_100g;gluc_g_100g;lipi_g_100g;sucr_g_100g;fibr_g_100g
06;boissons;1000;Pastis;274;59,6;0;2,91;0;0;0
06;boissons;1001;Eau de vie;228;66,3;0;2,79;0;0;0
06;boissons;1002;Gin;265;62,1;0;0;0;0;0
06;boissons;1003;Liqueur;328;35,6;0,1;39,6;0,3;35,3;0
06;boissons;1004;Rhum;248;64,5;0;0,031;0;0;0
06;boissons;1005;Whisky;249;63,7;0;1,57;0;0,1;0
06;boissons;1006;Vin doux;150;73,1;0,12;10,5;0;7,78;0
06;boissons;1007;Apéritif à base de vin ou vermouth;137;75,3;0,013;11,4;0;11,1;0
06;boissons;1008;Vodka;237;65,9;0;0,69;0;0;0
06;boissons;1011;Apéritif anisé sans alcool;6;0;0;1;0;0,03;1
06;boissons;1012;Cocktail à base de rhum;180;65;0;22,5;2,19;22,3;0,3
06;boissons;1013;Cocktail à base de whisky;166;69,2;0;15,9;0,02;15,8;0
06;boissons;1014;Alcool pur;660;0;0;0;0;0;0
06;boissons;1015;Marsala;211;57,7;0,1;27,9;0;27,9;0
06;boissons;1016;Marsala aux oeufs;153;0;0;12,4;0;12,4;0
06;boissons;1017;Sangria;81,4;83,4;0,39;9,59;0,11;9,03;0,55
06;boissons;1018;Kir (au vin blanc);111;79,9;0,056;9,46;0;7,8;0
06;boissons;1019;Kir royal (au champagne);111;79,7;0;9,88;0;8,51;0
06;boissons;1021;Crème de cassis;251;46;0;41,4;0;41;0
06;boissons;1022;Cocktail type punch, 16% alcool;162;0;0,6;17,8;0,6;17,8;0,5
06;boissons;1023;Eau de vie de vin, type armagnac, cognac;228;68;0;1;0;0;0
06;boissons;1026;Saké ou Alcool de riz;133;78,4;0;5;0;0;0
06;boissons;2000;Jus d'ananas, à base de concentré;49,7;87,1;0,41;11,2;0,096;11,2;0,18
06;boissons;2002;Jus multifruit, pur jus, multivitaminé;0;86,5;0,48;11,3;0,1;11;0,25
06;boissons;2004;Jus de fruits (aliment moyen);43;88,5;0,53;9,19;0,14;8,9;0,3
06;boissons;2006;Jus de carotte, pur jus;0;88,9;0,4;6,55;0,1;5,95;0,33
06;boissons;2007;Jus de citron, maison;28,9;91,5;0,45;2,48;0,24;2,06;0,3
06;boissons;2008;Cocktail sans alcool (à base de jus de fruits et de sirop);52,5;86,4;0,46;12,5;0;11;0,36
06;boissons;2011;Jus multifruit 0 base orange, multivitaminé;0;87,6;0,5;11,7;0,8;11,1;0,5
06;boissons;2012;Jus d'orange, à base de concentré;38,5;89,7;0,63;7,83;0,13;7,83;0,25
06;boissons;2013;Jus d'orange, maison;45;88,3;0,66;9,44;0,2;8,4;0,2
06;boissons;2014;Jus de pomme, à base de concentré;44;88,5;0,24;10,1;0,098;9,66;0,3
06;boissons;2015;Jus de pamplemousse (pomélo), à base de concentré;38;89,9;0,52;7,67;0,1;7,67;0,21
06;boissons;2016;Jus de raisin, pur jus;69,2;82,4;0,25;16,3;0,057;16;0,14
06;boissons;2017;Jus de grenade, pur jus;0;86;0,15;13;0,29;12,7;0,1
06;boissons;2018;Jus de pruneau;0;81,2;0,37;18,7;0,039;13,5;0,45
06;boissons;2019;Jus de raisin, à base de concentré;61,8;84,2;0,31;14,2;0,11;14,2;0,15
06;boissons;2023;Jus de mangue, frais;0;86;0,19;9,5;0;9,3;0
06;boissons;2024;Jus de fruit de la passion ou maracudja, frais;0;84,2;0,67;14,3;0,18;14,3;0,2
06;boissons;2025;Jus de pamplemousse (pomélo), maison;38,1;90;0,44;7,8;0,1;7,8;0,1
06;boissons;2026;Jus de tomate, pur jus, salé à 3 g/L;20,2;94,3;0,88;3,38;0,17;3,38;0,23
06;boissons;2027;Jus de pamplemousse (pomelo), pur jus;38,2;89,9;0,49;7,83;0,083;7,83;0,15
06;boissons;2028;Jus de citron, pur jus;0;92,5;0,4;6,1;0,29;2,4;0,4
06;boissons;2030;Jus de citron vert, maison;0;90,8;0,42;1,69;0,07;1,69;0,4
06;boissons;2031;Jus de citron vert, pur jus;24,1;92,5;0,25;1,35;0,23;1,35;0,45
06;boissons;2032;Jus de tomate, pur jus, salé à 6g/L;19,1;93,9;0,88;3,07;0,11;3,06;0,56
06;boissons;2034;Jus de clémentine ou mandarine, pur jus;0;88;0,66;10,6;0,14;10;0,15
06;boissons;2035;Jus multifruit, pur jus, standard;0;87;0,47;11,4;0,1;10,9;0,43
06;boissons;2039;Jus de grenade, frais;0;85,4;0,2;11,6;0;11,6;0
06;boissons;2043;Nectar d'abricot;0;84,9;0,21;13,7;0,03;11;0,08
06;boissons;2045;Nectar de papaye;0;85;0,17;13,9;0,15;13,9;0,6
06;boissons;2053;Jus de tomate, pur jus (aliment moyen);19,7;94,1;0,88;3,22;0,14;3,22;0,4
06;boissons;2054;Nectar de poire;0;84;0,19;14,8;0,043;11,4;0,45
06;boissons;2060;Nectar multifruit, multivitaminé;0;87,4;0,24;11,3;0,1;10,9;0,15
06;boissons;2061;Nectar multifruit, standard;49,7;87,2;0,3;11,5;0,089;11;0,3
06;boissons;2069;Jus multifruit, à base de concentré, standard;0;87,8;0,52;11,2;0,15;10,8;0,62
06;boissons;2070;Jus d'orange, pur jus;45;88,2;0,61;9,58;0,11;9,58;0,28
06;boissons;2072;Jus de fruits, pur jus (aliment moyen);43,5;88,4;0,52;9,13;0,14;8,8;0,29
06;boissons;2073;Jus d'ananas, pur jus;52,5;86,3;0,41;12;0,074;12;0,22
06;boissons;2074;Jus de pomme, pur jus;42,7;88,4;0,17;9,79;0,14;9,36;0,23
06;boissons;2075;Jus de légumes, pur jus (aliment moyen);19,7;92,4;0,72;4,33;0,13;4,13;0,37
06;boissons;2077;Jus de fruits, à base de concentré (aliment moyen);40,8;88,7;0,54;9,4;0,13;9,22;0,36
06;boissons;2365;Nectar de fruit de la passion ou maracuja;68;85,5;0,3;15,2;0,1;13;0
06;boissons;2366;Nectar de banane;0;86,7;0,23;13,6;0,048;12,6;0,51
06;boissons;2367;Nectar de goyave;0;88;0,14;11,3;0,16;9,97;0,14
06;boissons;2370;Nectar de mangue;51,4;87;0,2;12,3;0,083;11,6;0,15
06;boissons;2371;Nectar de pêche;0;85,6;0,22;12,1;0,05;11,9;0,33
06;boissons;2375;Nectar d'orange;39,8;89,7;0,29;8,79;0,08;8,79;0,18
06;boissons;2500;Smoothie;0;84,2;0,62;12,4;0,26;11,7;1,08
11;aliments infantiles;3000;Lait 1er âge, poudre soluble (préparation pour nourrissons);0;1,17;10,9;55;25,3;38,7;2,48
11;aliments infantiles;3002;Lait 2e âge, poudre soluble (préparation de suite);485;0;11,6;56,3;23,2;36,4;2,14
02;fruits, légumes, légumineuses et oléagineux;4000;Tapioca ou Perles du Japon, cru;354;11;0,19;87,8;0,02;3,35;0,9
02;fruits, légumes, légumineuses et oléagineux;4002;Pomme de terre, sans peau, cuite au four;91,9;75,4;1,95;20,1;0,1;1,7;1,5
02;fruits, légumes, légumineuses et oléagineux;4003;Pomme de terre, bouillie/cuite à l'eau;80,5;78,3;1,8;16,7;0,34;0,86;1,8
02;fruits, légumes, légumineuses et oléagineux;4004;Chips de pommes de terre, standard;545;1,4;5,67;51,1;34,3;1,59;4,57
02;fruits, légumes, légumineuses et oléagineux;4008;Pomme de terre, sans peau, crue;76,6;79;2,16;15,2;0,18;0,73;1,8
02;fruits, légumes, légumineuses et oléagineux;4011;Pomme de terre, appertisée, égouttée;59,9;84,3;1,47;11,7;0,34;0,65;2,2
02;fruits, légumes, légumineuses et oléagineux;4013;Pomme de terre noisette, surgelée, crue;181;61;2,76;24,9;7,22;0,74;2,82
02;fruits, légumes, légumineuses et oléagineux;4014;Pomme de terre vapeur, sous vide;73,6;0;1,7;15,4;0,2;0,4;1,62
02;fruits, légumes, légumineuses et oléagineux;4015;Pomme de terre, sautée/poêlée;126;0;2,33;20,1;3,45;0,76;2,53
02;fruits, légumes, légumineuses et oléagineux;4016;Pomme de terre, flocons déshydratés, au lait ou à la crème;372;6,21;10,6;69,4;3,97;4,67;8
02;fruits, légumes, légumineuses et oléagineux;4017;Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse;97,9;77,8;1,92;10,2;5,18;1,68;1,47
02;fruits, légumes, légumineuses et oléagineux;4018;Pomme de terre, purée, avec lait et beurre, non salée;88,9;77;1,89;14,2;2,4;1,41;1,5
02;fruits, légumes, légumineuses et oléagineux;4019;Pomme de terre, purée à base de flocons, reconstituée avec lait demi0écrémé et eau, non salée;67,3;82,8;2,63;12,1;0,53;2,2;1,8
02;fruits, légumes, légumineuses et oléagineux;4020;Pomme de terre dauphine, surgelée, crue;285;49;4,62;25,6;17,7;1,96;2,34
02;fruits, légumes, légumineuses et oléagineux;4021;Pomme de terre dauphine, surgelée, cuite;302;43,5;4,5;30,2;17,7;3,5;2
02;fruits, légumes, légumineuses et oléagineux;4022;Pomme de terre, flocons déshydratés, nature;361;5,09;8,04;76,1;0,46;2,35;10,3
02;fruits, légumes, légumineuses et oléagineux;4023;Pomme de terre nouvelle, crue;76,4;79,9;1,88;15,9;0,3;0,2;1,3
02;fruits, légumes, légumineuses et oléagineux;4025;Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites;140;68,2;2,5;19,8;5,11;0,38;2,42
02;fruits, légumes, légumineuses et oléagineux;4026;Pomme de terre, rôtie/cuite au four;89,4;74,9;2,5;18,5;0,13;1,18;2,2
02;fruits, légumes, légumineuses et oléagineux;4027;Pomme de terre rissolée, surgelée, cuite;138;0;2,5;22;4;0,2;2,2
02;fruits, légumes, légumineuses et oléagineux;4028;Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau;76,1;79,7;1,81;15,7;0,5;0,2;1,9
02;fruits, légumes, légumineuses et oléagineux;4029;Pomme de terre primeur, sans peau, bouillie/cuite à l'eau;71,6;79,9;1,84;14,9;0,1;0;2,13
02;fruits, légumes, légumineuses et oléagineux;4030;Frites de pommes de terre, surgelées, rôties/cuites au four;213;51,1;3,75;32,6;6,6;0,4;4,2
